Currency Summary,Currency,Total,Month to Date,Year to Date,,,,,,,,,,
Starting Cash,Base Currency Summary,0,,,,,,,,,,,,
Commissions,Base Currency Summary,-10.000126779,-6.02532406,-10.00012677,,,,,,,,,,
Deposits,Base Currency Summary,650,0,650,,,,,,,,,,
Dividends,Base Currency Summary,0.014994,0.014994,0.014994,,,,,,,,,,
Trades (Sales),Base Currency Summary,647.018822961,548.26027325,647.01882296,,,,,,,,,,
Trades (Purchase),Base Currency Summary,-1041.570962069,-848.09240643,-1041.57096207,,,,,,,,,,
Cash FX Translation Gain/Loss,Base Currency Summary,-0.51073922,,,,,,,,,,,,
Ending Cash,Base Currency Summary,244.951988909,,,,,,,,,,,,
Ending Settled Cash,Base Currency Summary,244.951988909,,,,,,,,,,,,
Starting Cash,AUD,0,,,,,,,,,,,,
Commissions,AUD,-6.0458,-3.0244,-6.0458,,,,,,,,,,
Deposits,AUD,650,0,650,,,,,,,,,,
Trades (Sales),AUD,1.3255,0,1.3255,,,,,,,,,,
Trades (Purchase),AUD,-645,-548,-645,,,,,,,,,,
Ending Cash,AUD,0.2797,,,,,,,,,,,,
Ending Settled Cash,AUD,0.2797,,,,,,,,,,,,
Starting Cash,USD,0,,,,,,,,,,,,
Commissions,USD,-2.6285747,-1.9986839,-2.6285747,,,,,,,,,,
Dividends,USD,0.01,0.01,0.01,,,,,,,,,,
Trades (Sales),USD,429.53248,365.03718,429.53248,,,,,,,,,,
Trades (Purchase),USD,-263.73377398,-199.86839,-263.73377398,,,,,,,,,,
Ending Cash,USD,163.180131325,,,,,,,,,,,,
Ending Settled Cash,USD,163.180131325,,,,,,,,,,,,
