DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Order,Stocks,USD,NVDA,"2024-05-22, 23:30:05",0.066,954.38,949.5,-62.98908,0,62.98908,0,-0.3221,FP;O;P
Order,Stocks,USD,SMCI,"2024-06-12, 23:30:05",0.1271,786.2,774.74,-99.92602,-0.9992602,100.9252802,0,-1.4566,FP;O
Order,Stocks,USD,SMCI,"2024-06-25, 5:53:14",0.121,825.97,826.98,-99.94237,-0.9994237,100.9417937,0,0.1222,FP;O
Order,Forex,USD,AUD.USD,"2024-05-22, 21:48:32",-97,0.6649,,64.4953,-3.0214,,,0.43305,
Order,Forex,USD,AUD.USD,"2024-05-24, 12:25:44",1,0.6597,,-0.6597,0,,,0.004777,L
Order,Forex,USD,AUD.USD,"2024-05-28, 8:10:36",0.3255,0.66545,,-0.216603975,0,,,-0.000229,
Order,Forex,USD,AUD.USD,"2024-06-12, 23:31:10",-151,0.66843,,100.93293,0,,,0.470048,L
Order,Forex,USD,AUD.USD,"2024-06-19, 5:47:01",-397,0.66525,,264.10425,-3.0244,,,-0.209775,
