Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Stocks,NVDA,0,0,0,0,0,0,26.870792382,0,0,0,26.870792382,26.870792382,
Stocks,SMCI,0,0,0,0,0,0,4.818663763,-2.700122519,0,0,2.118541244,2.118541244,
Total,,0,0,0,0,0,0,31.689456145,-2.700122519,0,0,28.989333626,28.989333626,
Total (All Assets),,0,0,0,0,0,0,31.689456145,-2.700122519,0,0,28.989333626,28.989333626,
