Currency Summary,Currency,Total,Month to Date,Year to Date,,,,,,,,,,
Starting Cash,Base Currency Summary,537.17561692,,,,,,,,,,,,
Commissions,Base Currency Summary,-90.942445985,-13.84053261,-22.22658637,,,,,,,,,,
Deposits,Base Currency Summary,12500,2000,3000,,,,,,,,,,
Dividends,Base Currency Summary,30.426366,0,0,,,,,,,,,,
Trades (Sales),Base Currency Summary,14571.94004816,2555.53409166,4572.59570707,,,,,,,,,,
Trades (Purchase),Base Currency Summary,-26954.741391556,-4491.90584304,-7720.00929006,,,,,,,,,,
Withholding Tax,Base Currency Summary,-4.596421,0,0,,,,,,,,,,
Cash FX Translation Gain/Loss,Base Currency Summary,-62.47057895,,,,,,,,,,,,
Ending Cash,Base Currency Summary,526.791193511,,,,,,,,,,,,
Ending Settled Cash,Base Currency Summary,1000.675874523,,,,,,,,,,,,
Starting Cash,AUD,0.000388069,,,,,,,,,,,,
Commissions,AUD,-36.1124,-5.7138,-8.5544,,,,,,,,,,
Deposits,AUD,12500,2000,3000,,,,,,,,,,
Trades (Sales),AUD,888.30298841,285.50967452,797.14347452,,,,,,,,,,
Trades (Purchase),AUD,-13352.17510195,-2279.78,-3788.59,,,,,,,,,,
Ending Cash,AUD,0.015874523,,,,,,,,,,,,
Ending Settled Cash,AUD,1000.675874523,,,,,,,,,,,,
Starting Cash,USD,353.521045641,,,,,,,,,,,,
Commissions,USD,-36.51094924,-5.7317,-9.5549,,,,,,,,,,
Dividends,USD,20.19,0,0,,,,,,,,,,
Trades (Sales),USD,9132.44937629,1598.2422984,2659.5238038,,,,,,,,,,
Trades (Purchase),USD,-9093.29118908,-1560.84955236,-2760.21975118,,,,,,,,,,
Withholding Tax,USD,-3.05,0,0,,,,,,,,,,
Ending Cash,USD,373.3082836,,,,,,,,,,,,
Ending Settled Cash,USD,0,,,,,,,,,,,,
